Address,Price,Beds,Baths,Days Listed,Type,Agent,Agency,URL
"30 Burroughs Rd, Lexington, MA 02420","$4,850,000",5,6.5,10 days,Single Family Residential,Elizabeth Crampton, • Coldwell Banker Realty - Lexington ,https://www.redfin.com/MA/Lexington/30-Burroughs-Rd-02420/home/8577076
"385 Lowell St, Lexington, MA 02420","$2,488,000",6,5,11 days,Single Family Residential,Ann Marie Barr, • Barrett Sotheby's International Realty ,https://www.redfin.com/MA/Lexington/385-Lowell-St-02420/home/8563617
"267 Lowell St, Lexington, MA 02420","$2,575,000",5,4.5,33 days,Single Family Residential,Ann Marie Barr, • Barrett Sotheby's International Realty ,https://www.redfin.com/MA/Lexington/267-Lowell-St-02420/home/8558076
"7 Blueberry Ln, Lexington, MA 02420","$4,300,000",6,6.5,47 days,Single Family Residential,Frances Allegra, • Advisors Living - Arlington ,https://www.redfin.com/MA/Lexington/7-Blueberry-Ln-02420/home/8563460
"905C Massachusetts, Lexington, MA 02420","$899,000",3,2,47 days,Multi-Family (2-4 Unit),Frederica Tassis, • Century 21 North East ,https://www.redfin.com/MA/Lexington/905C-Massachusetts-Ave-02420/home/143800243
"77 Winter St, Lexington, MA 02420","$1,499,000",4,3,59 days,Single Family Residential,Heejeong Joo," • Blue Ocean Realty, LLC ",https://www.redfin.com/MA/Lexington/77-Winter-St-02420/home/8586219
"303 Woburn St, Lexington, MA 02420","$2,598,000",6,5.5,74 days,Single Family Residential,Zahra Zoglauer, • Berkshire Hathaway HomeServices Commonwealth Real Estate ,https://www.redfin.com/MA/Lexington/303-Woburn-St-02420/home/11381582
"4 Mill Brook Rd, Lexington, MA 02420","$3,495,000",6,6,82 days,Single Family Residential,Judith Alexander, • Barrett Sotheby's International Realty ,https://www.redfin.com/MA/Lexington/4-Mill-Brook-Rd-02420/home/8577634
"4 Revere St, Lexington, MA 02420","$3,750,000",5,6.5,101 days,Single Family Residential,Beth Sager Group, • Keller Williams Realty Boston Northwest ,https://www.redfin.com/MA/Lexington/4-Revere-St-02420/home/8575553
"26 Cliffe Ave, Lexington, MA 02420","$899,000",3,2,101 days,Single Family Residential,Alpha Group, • Compass ,https://www.redfin.com/MA/Lexington/26-Cliffe-Ave-02420/home/8549509
"20 Harding Rd, Lexington, MA 02420","$2,850,000",5,5.5,123 days,Single Family Residential,Beth Sager Group, • Keller Williams Realty Boston Northwest ,https://www.redfin.com/MA/Lexington/20-Harding-Rd-02420/home/8579351
"374 Lowell St, Lexington, MA 02420","$2,769,000",5,6.5,144 days,Single Family Residential,Jack Andrellos, • Berkshire Hathaway HomeServices Commonwealth Real Estate ,https://www.redfin.com/MA/Lexington/374-Lowell-St-02420/home/8563930
"10 Carriage Dr, Lexington, MA 02420","$3,288,000",6,6.5,150 days,Single Family Residential,Sam and Wantzu, • Barrett Sotheby's International Realty ,https://www.redfin.com/MA/Lexington/10-Carriage-Dr-02420/home/8586983
"85 Hancock St, Lexington, MA 02420","$3,950,000",6,6,172 days,Single Family Residential,John Boyle," • LandVest, Inc., Concord ",https://www.redfin.com/MA/Lexington/85-Hancock-St-02420/home/8541204
"99 Bow St, Lexington, MA 02420","$724,999",3,1,180 days,Single Family Residential,Monica Rahman, • LAER Realty Partners ,https://www.redfin.com/MA/Lexington/99-Bow-St-02420/home/8548711
"14 Scotland Rd, Lexington, MA 02420","$2,990,000",6,5,221 days,Single Family Residential,Team Lillian Montalto, • Lillian Montalto Signature Properties ,https://www.redfin.com/MA/Lexington/14-Scotland-Rd-02420/home/8563733
"24 Blueberry Ln, Lexington, MA 02420","$4,295,000",6,6.5,263 days,Single Family Residential,Beth Sager Group, • Keller Williams Realty Boston Northwest ,https://www.redfin.com/MA/Lexington/24-Blueberry-Ln-02420/home/8563113
"15 Linmoor Ter, Lexington, MA 02420","$2,699,000",6,6,271 days,Single Family Residential,Karen Adelson, • Barrett Sotheby's International Realty ,https://www.redfin.com/MA/Lexington/15-Linmoor-Ter-02420/home/8578854
"370 Massachusetts Ave #2, Lexington, MA 02420","$1,250,000",3,3.5,46 days,Townhouse,Jack Andrellos, • Berkshire Hathaway HomeServices Commonwealth Real Estate ,https://www.redfin.com/MA/Lexington/370-Massachusetts-Ave-02420/unit-2/home/178645858
"5 Cedarwood Ter, Lexington, MA 02421","$4,998,000",8,8.5,4 days,Single Family Residential,Judith Alexander, • Barrett Sotheby's International Realty ,https://www.redfin.com/MA/Lexington/5-Cedarwood-Ter-02421/home/8550990
"20 Ellison Rd, Lexington, MA 02421","$2,387,000",6,5.5,5 days,Single Family Residential,Elizabeth Crampton, • Coldwell Banker Realty - Lexington ,https://www.redfin.com/MA/Lexington/20-Ellison-Rd-02421/home/8562062
"21 Ellison Rd, Lexington, MA 02421","$1,950,000",5,5.5,5 days,Single Family Residential,Candor Realty Group," • Four Points Real Estate, LLC ",https://www.redfin.com/MA/Lexington/21-Ellison-Rd-02421/home/11605331
"3 Meadow Brook Ave, Lexington, MA 02421","$2,698,000",5,5,5 days,Single Family Residential,The Debbie Spencer Group, • Keller Williams Realty Boston Northwest ,https://www.redfin.com/MA/Lexington/3-Meadow-Brook-Ave-02421/home/178966588
"33 Forest St #100, Lexington, MA 02421","$824,900",2,2,28 days,Condo,The Synergy Group, • The Synergy Group ,https://www.redfin.com/MA/Lexington/33-Forest-St-02421/unit-100/home/8540744
"1 Leroy Rd, Lexington, MA 02421","$2,188,000",5,5.5,31 days,Single Family Residential,Sam Pukitis, • Barrett Sotheby's International Realty ,https://www.redfin.com/MA/Lexington/1-Leroy-Rd-02421/home/11776259
"2 Effie Pl, Lexington, MA 02421","$1,245,000",—,—,46 days,Vacant Land,Elizabeth Crampton, • Coldwell Banker Realty - Lexington ,https://www.redfin.com/MA/Lexington/2-02421/home/183109325
"2 Leroy Rd, Lexington, MA 02421","$2,580,000",6,6.5,68 days,Single Family Residential,The Joyce Team, • Compass ,https://www.redfin.com/MA/Lexington/2-Leroy-Rd-02421/home/8562020
"76 Hill St, Lexington, MA 02421","$1,399,000",3,3,73 days,Single Family Residential,Jason Saphire, • www.HomeZu.com ,https://www.redfin.com/MA/Lexington/76-Hill-St-02421/home/8571522
"2 Effie Pl, Lexington, MA 02421","$3,845,000",6,5,74 days,Single Family Residential,Elizabeth Crampton, • Coldwell Banker Realty - Lexington ,https://www.redfin.com/MA/Lexington/2-02421/home/182615925
"15 Balfour St, Lexington, MA 02421","$2,550,000",5,4,91 days,Single Family Residential,Kristin Brown, • Coldwell Banker Realty - Lexington ,https://www.redfin.com/MA/Lexington/15-Balfour-St-02421/home/8572175
"203 Marrett Rd, Lexington, MA 02421","$3,095,000",6,5.5,94 days,Single Family Residential,Northeast Venture Group," • Stuart St James, Inc. ",https://www.redfin.com/MA/Lexington/203-Marrett-Rd-02421/home/8555226
"9 Bruce Rd, Lexington, MA 02421","$3,350,000",6,6.5,98 days,Single Family Residential,Robert Cohen, • Coldwell Banker Realty - Lexington ,https://www.redfin.com/MA/Lexington/9-Bruce-Rd-02421/home/8546937
"30 Hilltop Ave, Lexington, MA 02421","$3,189,000",6,6,104 days,Single Family Residential,Marina Belyea, • Compass ,https://www.redfin.com/MA/Lexington/30-Hilltop-Ave-02421/home/8551393
"12 Summit Rd, Lexington, MA 02421","$2,680,000",6,6.5,104 days,Single Family Residential,Jacquelyn Hawkinson, • Barrett Sotheby's International Realty ,https://www.redfin.com/MA/Lexington/12-Summit-Rd-02421/home/8540341
"309 Marrett Rd, Lexington, MA 02421","$1,650,000",5,4,117 days,Single Family Residential,Ali Dobrowolski, • Compass ,https://www.redfin.com/MA/Lexington/309-Marrett-Rd-02421/home/8554816
"1 Revolutionary Rd, Lexington, MA 02421","$3,350,000",5,6.5,140 days,Single Family Residential,Beth Sager Group, • Keller Williams Realty Boston Northwest ,https://www.redfin.com/MA/Lexington/1-Revolutionary-Rd-02421/home/8567969
"66 Seminole Ave, Waltham, MA 02451","$1,229,900",3,3,10 days,Single Family Residential,Steven Savarese, • Senne ,https://www.redfin.com/MA/Waltham/66-Seminole-Ave-02451/home/11802620
"8 Rosemont Ave, Waltham, MA 02451","$1,500,000",3,2,19 days,Single Family Residential,Dana Fessenden," • Lamacchia Realty, Inc. ",https://www.redfin.com/MA/Waltham/8-Rosemont-Ave-02451/home/11802977
"53 Trimount Ave, Waltham, MA 02451","$1,500,000",—,—,19 days,Vacant Land,Dana Fessenden," • Lamacchia Realty, Inc. ",https://www.redfin.com/MA/Waltham/53-Trimount-Ave-02451/home/11802969
"27 Lincoln Woods Rd, Waltham, MA 02451","$1,499,000",4,2.5,40 days,Single Family Residential,Catherine Bella Skinner, • Coldwell Banker Realty - Lexington ,https://www.redfin.com/MA/Waltham/27-Lincoln-Woods-Rd-02451/home/11799527
"20 College Farm Rd, Waltham, MA 02451","$1,299,900",4,4.5,45 days,Single Family Residential,Dave DiGregorio, • Coldwell Banker Realty - Waltham ,https://www.redfin.com/MA/Waltham/20-College-Farm-Rd-02451/home/183152336
"148 Princeton Ave, Waltham, MA 02451","$589,999",4,1,59 days,Single Family Residential,Peter Scanlan, • Coldwell Banker Realty - Belmont ,https://www.redfin.com/MA/Waltham/148-Princeton-Ave-02451/home/11802892
"309 Dale St, Waltham, MA 02451","$929,000",4,2,76 days,Single Family Residential,Metropolitan Group, • Compass ,https://www.redfin.com/MA/Waltham/309-Dale-St-02451/home/11806049
"12 Grant Pl, Waltham, MA 02451","$679,900",3,2,82 days,Multi-Family (2-4 Unit),Cheryle West, • Coldwell Banker Realty - Waltham ,https://www.redfin.com/MA/Waltham/12-Grant-Pl-02451/home/11812087
"28 Princeton Ave, Waltham, MA 02452","$1,479,000",4,3.5,116 days,Single Family Residential,Dave DiGregorio, • Coldwell Banker Realty - Waltham ,https://www.redfin.com/MA/Waltham/28-Princeton-Ave-02451/home/11802011
"221 Worcester Ln #6, Waltham, MA 02451","$799,900",2,2,137 days,Condo,Dave DiGregorio, • Coldwell Banker Realty - Waltham ,https://www.redfin.com/MA/Waltham/221-Worcester-Ln-02451/unit-6/home/17143338
"0 Braemore, Waltham, MA 02451","$1,200,000",—,—,143 days,Vacant Land,Mark Sullivan, • T.A. Sullivan Agency Inc. ,https://www.redfin.com/MA/Waltham/0-Braemore-Rd-02451/home/183185978
"226 Worcester Ln, Waltham, MA 02451","$1,699,900",4,4.5,171 days,Single Family Residential,Dave DiGregorio, • Coldwell Banker Realty - Waltham ,https://www.redfin.com/MA/Waltham/226-Worcester-Ln-02451/home/178651618
"52 Pond St, Waltham, MA 02451","$699,000",3,2,7 days,Single Family Residential,Sarah Rose," • Blue Marble Group, Inc. ",https://www.redfin.com/MA/Waltham/52-Pond-St-02451/home/11809228
"24 Princeton Ave, Waltham, MA 02451","$1,249,000",3,3.5,14 days,Single Family Residential,Dave DiGregorio, • Coldwell Banker Realty - Waltham ,https://www.redfin.com/MA/Waltham/24-Princeton-Ave-02451/home/179698550
"14 Gormans Ct, Waltham, MA 02451","$449,000",4,1,81 days,Single Family Residential,Glenna Gelineau," • Gelineau & Associates, R.E. ",https://www.redfin.com/MA/Waltham/14-Gormans-Ct-02451/home/11812935
"181 School St, Waltham, MA 02451","$2,595,000",11,11,228 days,Multi-Family (5+ Unit),Glenna Gelineau," • Gelineau & Associates, R.E. ",https://www.redfin.com/MA/Waltham/181-School-St-02451/home/11812941
"207 Peter Spring Rd, Concord, MA 01742","$879,000",4,2,5 days,Single Family Residential,"Senkler, Pasley & Dowcett", • Coldwell Banker Realty - Concord ,https://www.redfin.com/MA/Concord/207-Peter-Spring-Rd-01742/home/11589010
"27 Potter St, Concord, MA 01742","$1,599,900",4,3,11 days,Single Family Residential,Brian Fitzpatrick, • Coldwell Banker Realty - Waltham ,https://www.redfin.com/MA/Concord/27-Potter-St-01742/home/11598580
"25 Chestnut St, Concord, MA 01742","$3,395,000",5,5.5,12 days,Single Family Residential,The Laura Baliestiero Team, • Coldwell Banker Realty - Concord ,https://www.redfin.com/MA/Concord/25-Chestnut-St-01742/home/11593911
"100 Keyes Rd #307, Concord, MA 01742","$585,000",1,1,35 days,Condo,Barbara Grande Bennett, • Coldwell Banker Realty - Concord ,https://www.redfin.com/MA/Concord/100-Keyes-Rd-01742/unit-307/home/11594387
"41 Mccallar Ln, Concord, MA 01742","$3,175,000",4,5.5,39 days,Single Family Residential,The Ridick Revis Group, • Compass ,https://www.redfin.com/MA/Concord/41-McCallar-LN-01742/home/177649730
"1279 Elm St, Concord, MA 01742","$725,000",3,2,72 days,Townhouse,None,None,https://www.redfin.com/MA/Concord/1279-Elm-St-01742/home/182657680
"278 Plainfield Rd, Concord, MA 01742","$1,550,000",3,2.5,73 days,Single Family Residential,Dave White, • OwnerEntry.com ,https://www.redfin.com/MA/Concord/278-Plainfield-Rd-01742/home/11601327
"11 Williams Rd, Concord, MA 01742","$3,649,000",5,5.5,96 days,Single Family Residential,The Zur Attias Team," • The Attias Group, LLC ",https://www.redfin.com/MA/Concord/11-Williams-Rd-01742/home/11598430
"20 Millrun Ln Unit 7B, Concord, MA 01742","$699,900",1,1.5,101 days,Condo,Knox Real Estate Group, • William Raveis R.E. & Home Services ,https://www.redfin.com/MA/Concord/20-Millrun-LN-01742/unit-7B/home/178102397
"66 Spencer Brook Rd, Concord, MA 01742","$3,985,000",5,6,107 days,Single Family Residential,Sharon Mendosa, • Compass ,https://www.redfin.com/MA/Concord/66-Spencer-Brook-Rd-01742/home/76478167
"135 Williams Rd, Concord, MA 01742","$2,750,000",4,5,108 days,Single Family Residential,Barrett & Comeau Group, • Barrett Sotheby's International Realty ,https://www.redfin.com/MA/Concord/135-Williams-Rd-01742/home/11599343
"55 Allen Farm Ln, Concord, MA 01742","$1,250,000",3,3,109 days,Single Family Residential,Joyce Crommett, • Coldwell Banker Realty - Northborough ,https://www.redfin.com/MA/Concord/55-Allen-Farm-Ln-01742/home/11591985
"99 Sudbury Rd, Concord, MA 01742","$1,649,000",5,4,131 days,Single Family Residential,Bob Champey, • William Raveis R.E. & Home Services ,https://www.redfin.com/MA/Concord/99-Sudbury-Rd-01742/home/11593165
"367 Fitchburg Tpke, Concord, MA 01742","$3,100,000",5,5,131 days,Single Family Residential,Judith Boland, • Coldwell Banker Realty - Concord ,https://www.redfin.com/MA/Concord/367-Fitchburg-Tpke-01742/home/177962396
"128 Fairhaven Rd, Concord, MA 01742","$1,995,000",4,4,185 days,Single Family Residential,Gail Walton, • Coldwell Banker Realty - Concord ,https://www.redfin.com/MA/Concord/128-Fairhaven-Rd-01742/home/11598555
"129 Cottage St, Concord, MA 01742","$2,169,000",4,4,194 days,Single Family Residential,Maurer Widell Team, • Barrett Sotheby's International Realty ,https://www.redfin.com/MA/Concord/129-Cottage-St-01742/home/11596526
"Lot-1 1134 Monument St, Concord, MA 01742","$1,975,000",—,—,317 days,Vacant Land,"Senkler, Pasley & Dowcett", • Coldwell Banker Realty - Concord ,https://www.redfin.com/MA/Concord/1134-Monument-St-01742/home/177962397
"129 Lexington Rd, Lincoln, MA 01773","$1,895,000",5,4.5,54 days,Single Family Residential,Anouald Marc, • Newity Realty ,https://www.redfin.com/MA/Lincoln/129-Lexington-Rd-01773/home/18615950
"80 Trapelo, Lincoln, MA 01773","$2,565,000",6,6,95 days,Single Family Residential,The Taylor Packineau Team, • Compass ,https://www.redfin.com/MA/Lincoln/80-Trapelo-Rd-01773/home/8553727
"38 Jarvis Cir, Needham, MA 02492","$2,849,000",5,5.5,4 days,Single Family Residential,Lena Voloshin, • Compass ,https://www.redfin.com/MA/Needham/38-Jarvis-Cir-02492/home/8931654
"76 Tudor Rd, Needham, MA 02492","$1,049,000",3,2.5,5 days,Single Family Residential,Yuwei Liao, • Hooli Homes Boston Inc. ,https://www.redfin.com/MA/Needham/76-Tudor-Rd-02492/home/11714034
"94 Heather Ln, Needham, MA 02492","$6,450,000",7,7,10 days,Single Family Residential,Jill Finkelstein & Associates, • Compass ,https://www.redfin.com/MA/Needham/94-Heather-Ln-02492/home/178448418
"70 Plymouth Rd, Needham, MA 02492","$1,999,000",4,3.5,12 days,Single Family Residential,Team Pearlstein, • Gibson Sotheby's International Realty ,https://www.redfin.com/MA/Needham/70-Plymouth-Rd-02492/home/8906441
"15 Winslow Rd, Needham, MA 02492","$2,400,000",6,6,21 days,Single Family Residential,Jason Saphire, • www.HomeZu.com ,https://www.redfin.com/MA/Needham/15-Winslow-Rd-02492/home/8938547
"834 Central Ave, Needham, MA 02492","$1,899,900",4,3.5,40 days,Single Family Residential,Maura Cutting, • Berkshire Hathaway HomeServices Commonwealth Real Estate ,https://www.redfin.com/MA/Needham/834-Central-Ave-02492/home/8931862
"153 Livingston Cir, Needham, MA 02492","$2,295,000",5,5.5,48 days,Single Family Residential,Amanda Armstrong Group, • Compass ,https://www.redfin.com/MA/Needham/153-Livingston-Cir-02492/home/8899294
"322 Warren St, Needham, MA 02492","$599,900",2,1,56 days,Single Family Residential,David Oliveri, • Berkshire Hathaway HomeServices Commonwealth Real Estate ,https://www.redfin.com/MA/Needham/322-Warren-St-02492/home/8910240
"52 Heather Ln, Needham, MA 02492","$4,500,000",5,6,62 days,Single Family Residential,Jill Finkelstein & Associates, • Compass ,https://www.redfin.com/MA/Needham/52-Heather-Ln-02492/home/182851871
"7 Gayland Rd, Needham, MA 02492","$974,900",4,1.5,88 days,Single Family Residential,Gary Acquah, • Real Estate Door ,https://www.redfin.com/MA/Needham/7-Gayland-Rd-02492/home/181483005
"26 Meetinghouse Cir, Needham, MA 02492","$1,350,000",4,3,95 days,Single Family Residential,Amy Gworek, • William Raveis R.E. & Home Services ,https://www.redfin.com/MA/Needham/26-Meetinghouse-Cir-02492/home/8932688
"969 South St, Needham, MA 02492","$3,650,000",5,3,104 days,Single Family Residential,Nest | Syndi Zaiger Group, • Compass ,https://www.redfin.com/MA/Needham/969-South-St-02492/home/8941046
"31 Hamlin Ln Apt A14, Needham, MA 02492","$513,000",2,1,120 days,Condo,None,None,https://www.redfin.com/MA/Needham/31-Hamlin-Ln-02492/unit-A14/home/11715612
"Lot 7 Belle Ln, Needham, MA 02492","$2,349,000",—,—,250 days,Vacant Land,Kaufman Realty Team, • Keller Williams Realty ,https://www.redfin.com/MA/Needham/Lot-7-Belle-LN-02492/home/179387029
"100 Rosemary Way #315, Needham, MA 02494","$429,900",1,2,4 days,Condo,Robin Spangenberg, • Redfin Corp. ,https://www.redfin.com/MA/Needham/100-Rosemary-Way-02494/unit-315/home/8926839
"400 Hunnewell Unit 103-104, Needham, MA 02494","$2,595,000",5,4,11 days,Condo,Todd Glaskin, • Coldwell Banker Realty - Newton ,https://www.redfin.com/MA/Needham-Heights/400-Hunnewell-St-02494/unit-103-104/home/183093434
"5 Roscoe, Needham, MA 02494","$2,499,000",5,4.5,11 days,Single Family Residential,Corkin Cantor Group, • Coldwell Banker Realty - Newton ,https://www.redfin.com/MA/Needham/5-Roscoe-St-02494/home/183674053
"547 Webster St, Needham, MA 02494","$2,674,900",6,6.5,45 days,Single Family Residential,Chadwick White, • Compass ,https://www.redfin.com/MA/Needham/547-Webster-St-02494/home/11827764
"400 Hunnewell St #103, Needham, MA 02494","$1,279,000",2,2,49 days,Condo,Patrice Clunan, • Coldwell Banker Realty - Brookline ,https://www.redfin.com/MA/Needham-Heights/400-Hunnewell-St-02494/unit-103/home/183047677
"26 Manning St, Needham, MA 02494","$2,450,000",5,5.5,54 days,Single Family Residential,Peter Doisneau," • Tower Hill Real Estate, LLC ",https://www.redfin.com/MA/Needham-Heights/26-Manning-St-02494/home/8918042
"212 Central Ave, Needham, MA 02494","$785,000",3,1.5,94 days,Single Family Residential,Leslie Kaplan, • Hammond Residential Real Estate ,https://www.redfin.com/MA/Needham-Heights/212-Central-Ave-02494/home/11715051
