Address,Price,Beds,Baths,Days Listed,Type,Agent,Agency,URL
"315-317 Langley, Newton, MA 02459","$2,950,000",—,—,48 days,Vacant Land,William Senne, • Senne ,https://www.redfin.com/MA/Newton/315-Langley-Rd-02459/home/11470012
"74 Bowen, Newton, MA 02459","$1,450,000",5,2.5,63 days,Single Family Residential,Nicoletta Noor, • Coldwell Banker Realty - Newton ,https://www.redfin.com/MA/Newton-Centre/74-Bowen-St-02459/home/11466376
"391 Dudley Rd, Newton, MA 02459","$3,899,000",5,5.5,75 days,Single Family Residential,Samantha Stumpo," • New Brook Realty Group, LLC ",https://www.redfin.com/MA/Newton/391-Dudley-Rd-02459/home/11483789
"239 Jackson St, Newton, MA 02459","$3,999,999",6,6.5,76 days,Single Family Residential,Leah & Maureen Realty Group, • RE/MAX Preferred Properties ,https://www.redfin.com/MA/Newton-Centre/239-Jackson-St-02459/home/11462153
"21 Tocci Path, Newton, MA 02459","$2,750,000",5,5.5,77 days,Single Family Residential,Rimma Linkova, • LMC Property Group ,https://www.redfin.com/MA/Newton/21-Tocci-Path-02459/home/11500806
"124 Deborah Rd, Newton, MA 02459","$1,895,000",5,4.5,96 days,Single Family Residential,Esin Susol, • William Raveis R. E. & Home Services ,https://www.redfin.com/MA/Newton/124-Deborah-Rd-02459/home/11483959
"350 Boylston St #302, Newton, MA 02459","$1,995,000",2,2.5,105 days,Condo,Jayne Friedberg, • Coldwell Banker Realty - Brookline ,https://www.redfin.com/MA/Newton/350-Boylston-St-02459/unit-302/home/11502710
"26 John St, Newton, MA 02459","$1,888,000",12,6,139 days,Multi-Family (2-4 Unit),Brandon Muroff, • Red Tree Real Estate ,https://www.redfin.com/MA/Newton/26-John-St-02459/home/11468976
"608 Beacon St, Newton, MA 02459","$3,499,000",4,2,143 days,Single Family Residential,Janet Ghazzi, • Coldwell Banker Realty - Newton ,https://www.redfin.com/MA/Newton/608-Beacon-St-02459/home/11466693
"15 Buff Cir, Newton, MA 02459","$6,499,999",6,8,143 days,Single Family Residential,Leah & Maureen Realty Group, • RE/MAX Preferred Properties ,https://www.redfin.com/MA/Newton/15-Buff-Cir-02459/home/11490293
"500 Dudley Rd, Newton, MA 02459","$2,299,000",4,3,190 days,Single Family Residential,Samantha Stumpo," • New Brook Realty Group, LLC ",https://www.redfin.com/MA/Newton/500-Dudley-Rd-02459/home/11483582
"12 Hanson Rd #12, Newton, MA 02459","$1,735,000",3,2.5,200 days,Townhouse,Jeffrey Lieb, • Realty Consultants ,https://www.redfin.com/MA/Newton/12-Hanson-Rd-02459/unit-12/home/180268786
"74 Rachel Rd, Newton, MA 02459","$5,490,000",6,6.5,266 days,Single Family Residential,Deborah Gordon, • Coldwell Banker Realty - Brookline ,https://www.redfin.com/MA/Newton/74-Rachel-Rd-02459/home/11490185
"67 Walnut St #1, Newton, MA 02460","$1,599,000",4,3.5,4 days,Townhouse,The Shahani Group, • Compass ,https://www.redfin.com/MA/Newton/67-Walnut-St-02460/unit-1/home/179396393
"67 Walnut St #3, Newton, MA 02460","$1,550,000",5,4,4 days,Townhouse,The Shahani Group, • Compass ,https://www.redfin.com/MA/Newton/67-Walnut-St-02460/unit-3/home/179838396
"67 Walnut St #2, Newton, MA 02460","$1,599,000",4,3.5,4 days,Condo,The Shahani Group, • Compass ,https://www.redfin.com/MA/Newton/67-Walnut-St-02460/unit-2/home/179596281
"67 Walnut St, Newton, MA 02460","$4,500,000",13,11,4 days,Multi-Family (2-4 Unit),The Shahani Group, • Compass ,https://www.redfin.com/MA/Newton/67-Walnut-St-02460/home/11417336
"361 Linwood Ave Unit A, Newton, MA 02460","$2,675,000",4,4.5,6 days,Single Family Residential,The Sarkis Team, • Douglas Elliman Real Estate - Park Plaza ,https://www.redfin.com/MA/Newton/361-Linwood-Ave-02460/unit-A/home/183738263
"34 Prescott St Unit D, Newton, MA 02460","$759,000",1,1.5,6 days,Townhouse,Christian Murray, • North Corner Realty ,https://www.redfin.com/MA/Newton/34-Prescott-St-02460/unit-D/home/183733182
"34 Prescott St Unit C, Newton, MA 02460","$869,000",2,2.5,6 days,Townhouse,Christian Murray, • North Corner Realty ,https://www.redfin.com/MA/Newton/34-Prescott-St-02460/unit-C/home/183733181
"79 Walnut St #2, Newton, MA 02460","$499,000",2,1,12 days,Condo,Nicole Thomas, • Boston City Properties ,https://www.redfin.com/MA/Newtonville/79-Walnut-St-02460/unit-2/home/11493647
